block_id,conc1,conc2,ZIP_fit,ZIP_ref,ZIP_synergy,HSA_ref,HSA_synergy,Bliss_ref,Bliss_synergy,Loewe_ref,Loewe_synergy,Loewe_ci
3,0,0.1,5.917028444420325,5.917028444420325,0,5.917028444420325,0,5.917028444420325,0,5.917028444420325,0,NA
3,0,0.01,-0.5874516506586012,-0.5874516506586012,0,-0.5874516506586012,0,-0.5874516506586012,0,-0.5874516506586012,0,NA
3,0,0.001,-2.6388195097966483,-2.6388195097966483,0,-2.6388195097966483,0,-2.6388195097966483,0,-2.6388195097966483,0,NA
3,0,1e-4,-10.56163048078801,-10.56163048078801,0,-10.56163048078801,0,-10.56163048078801,0,-10.56163048078801,0,NA
3,0,0,-7.187353884450226,-7.187353884450226,0,-7.187353884450226,0,-7.187353884450226,0,-7.187353884450226,0,NA
4,1.6,1,94.93882302823366,98.29076965834712,-3.35194663011346,96.04251337284522,0.0010362801385070952,98.80215327067289,-2.758603617689161,96.03701058191703,0.006539071066697488,0
4,1.6,0.1,83.14636218148149,84.09102301923541,-0.944660837753915,69.7321345040578,13.414460313338239,88.83229139824815,-5.68569658085211,63.30089977340919,19.845695043986844,0.8237738580999242
4,1.6,0.01,64.8761906900203,54.610475601314334,10.26571508870596,69.7321345040578,-8.735853488199318,64.64543378508787,-3.6491527692293957,57.16287897939837,3.8334020364601074,0.1015334138435941
4,1.6,0.001,65.76007942938801,54.61041327742184,11.149666151966173,69.7321345040578,-3.442770866157133,67.99045520648524,-1.701091568584573,57.16287897939837,9.126484658502292,0.009764527276839475
4,1.6,1e-4,63.08879645699242,54.61041327737901,8.47838317961341,69.7321345040578,-7.192161625724708,69.2339061455183,-6.693933267185216,57.16287897939837,5.377093898934717,0.001004177682421256
4,1.6,0,69.7321345040578,69.7321345040578,0,69.7321345040578,0,69.7321345040578,0,69.7321345040578,0,NA
4,0.16,1,94.34800085345627,98.29076965798234,-3.942768804526068,96.04251337284522,-1.1814668995292124,98.18800912564627,-3.3269626523302662,96.03701067480023,-1.17596420148422,5.474014845101013
4,0.16,0.1,75.3852232561204,84.09102301584011,-8.70579975971971,63.10374577537015,12.28126737764594,83.10653142979044,-7.721518276774347,63.30089977340919,12.084113379606897,0.9026077978394488
4,0.16,0.01,55.04538443838827,54.610475591627235,0.4349088467610329,54.21359450918885,-0.051530123845687115,46.518907820417176,7.643156564925988,57.16287897939837,-3.000814594055207,62.29717426119261
4,0.16,0.001,55.20216282805809,54.61041326773475,0.5917495603233434,54.21359450918885,-4.6249733141670575,51.578944419168494,-1.9903232241466995,57.16287897939837,-7.574257784376577,78.11188868281435
4,0.16,1e-4,54.31408153612908,54.61041326769192,-0.2963317315628373,54.21359450918885,-5.960274010477313,53.459921090950324,-5.206600592238786,57.16287897939837,-8.909558480686833,81.4037888028495
4,0.16,0,54.21359450918885,54.21359450918885,0,54.21359450918885,0,54.21359450918885,0,54.21359450918885,0,NA
4,0.016,1,92.62551673387418,98.29074992179004,-5.6652331879158595,96.04251337284522,-4.624725394027777,97.88909751560254,-6.4713095367851,96.03701067480023,-4.619222695982785,6.873602293805993
4,0.016,0.1,62.3708092228632,84.09083931758636,-21.720030094723157,63.10374577537015,-1.4888364467197022,80.31973268758054,-18.704823358930092,63.30089977340919,-1.685990444758744,1.0108778143483652
4,0.016,0.01,47.84877727024541,54.609951486502204,-6.761174216256798,46.6605276714458,1.6434715209853152,37.69650170537601,10.607497487055106,57.16287897939837,-8.858879786967258,8.238811217137055
4,0.016,0.001,45.84744621789818,54.60988916189006,-8.762442943991879,46.6605276714458,-1.902228296835041,43.59125756680159,1.16704180780917,57.16287897939837,-12.404579604787614,8.900471178325304
